S.no,Youtube_channel,Youtuber_name,Category,Subscribers,Country,Average_view,Average_likes,Average_comments,Sub-category,Date
121,MrBeast Gaming,MrBeast Gaming,Animation,28800000.0,United States,8800000.0,419900.0,16500.0,Video games,9/19/2022
122,Ultra Music,UltraRecords,Music & Dance,28800000.0,United States,22800.0,824.0,41.0,Other,9/23/2022
123,jacksepticeye,jacksepticeye,Video games,28800000.0,United States,2300000.0,125600.0,6200.0,Other,9/26/2022
124,Maluma,Maluma,Music & Dance,28800000.0,Colombia,45600.0,2600.0,202.0,Other,9/3/2022
125,Techno Gamerz,Techno Gamerz,Other,28600000.0,India,4000000.0,319500.0,15400.0,Other,9/30/2022
129,DONA 도나,DONA 도나,Other,28200000.0,United States,0.0,0.0,0.0,Other,9/20/2022
130,Talking Tom,TalkingTomCat,Other,28100000.0,United States,769900.0,839.0,0.0,Other,9/4/2022
132,KAROL G,Karolgmusic,Music & Dance,28000000.0,Colombia,51800000.0,1700000.0,96200.0,Other,9/10/2022
133,The Late Late Show with James Corden,TheLateLateShow,Animation,28000000.0,United States,86700.0,2300.0,130.0,Humor,9/11/2022
134,GMANetwork,GMANETWORK,Other,27900000.0,Philippines,3200.0,78.0,2.0,Other,9/7/2022
135,MR. INDIAN HACKER,MR. INDIAN HACKER,Other,27400000.0,India,5600000.0,451900.0,18500.0,Other,9/10/2022
136,TheDonato,TheDonato,Other,27300000.0,Mexico,380600.0,34200.0,678.0,Other,9/29/2022
137,Zee News,zeenews,News & Politics,27200000.0,India,10800.0,202.0,14.0,Other,9/6/2022
141,ToypuddingTV,toypudding,Other,26600000.0,India,5300.0,32.0,1.0,Other,9/2/2022
144,Aditya Music,adityamusic,Music & Dance,26500000.0,India,16800.0,359.0,17.0,Other,9/16/2022
146,enchufetv,enchufetv,Other,26400000.0,Ecuador,178200.0,14400.0,71.0,Other,9/12/2022
147,DanTDM,TheDiamondMinecart,Video games,26300000.0,United States,1600000.0,48400.0,5100.0,Other,9/13/2022
148,WORLDSTARHIPHOP,WorldStarHipHopTV,Music & Dance,26100000.0,United States,34600.0,1100.0,86.0,Other,9/7/2022
150,VanossGaming,VanossGaming,Animation,25800000.0,United States,1000000.0,45600.0,647.0,Video games,9/23/2022
151,1MILLION Dance Studio,1MILLION Dance Studio,Other,25700000.0,India,48600.0,2500.0,36.0,Other,9/29/2022
152,Renato Garcia,xSkyHeLLxx,Movies,25700000.0,Brazil,1100000.0,97900.0,1500.0,Animation,9/23/2022
153,LosPolinesios,LosPolinesios,Music & Dance,25700000.0,Mexico,1700000.0,62000.0,2200.0,Movies,9/9/2022
154,JYP Entertainment,jypentertainment,Music & Dance,25500000.0,United States,219800.0,24100.0,1300.0,Other,9/22/2022
155,BB Ki Vines,BB Ki Vines,Movies,25500000.0,India,6700000.0,870800.0,73300.0,Humor,9/26/2022
156,Lucas and Marcus,TwiNboTzVids,Animation,25500000.0,United States,1000000.0,25700.0,1200.0,Humor,9/13/2022
158,Smosh,smosh,Movies,25100000.0,United States,213100.0,12600.0,437.0,Humor,9/3/2022
159,Beyoncé,beyonce,Music & Dance,25100000.0,United States,5300000.0,221400.0,12500.0,Other,9/10/2022
160,Jess No Limit,Jess No Limit,Movies,24900000.0,Indonesia,319900.0,11700.0,897.0,Animation,9/4/2022
162,WatchMojo.com,WatchMojo,Movies,24700000.0,United States,92300.0,2500.0,310.0,Other,9/10/2022
163,Nicki Minaj,NickiMinajTelevision,Music & Dance,24700000.0,United States,350500.0,32700.000000000004,2400.0,Other,9/18/2022
164,Sandeep Maheshwari,Sandeep Maheshwari,Daily vlogs,24700000.0,India,257100.00000000003,28000.0,172.0,Other,9/20/2022
166,Netflix,NewOnNetflix,Movies,24500000.0,United States,198900.0,3400.0,321.0,Animation,9/30/2022
167,Raffy Tulfo in Action,Raffy Tulfo in Action,News & Politics,24500000.0,Philippines,680200.0,10500.0,1000.0,Other,9/9/2022
168,David Guetta,davidguettavevo,Music & Dance,24500000.0,Brazil,178200.0,6500.0,369.0,Other,9/22/2022
169,Post Malone,postmalone,Music & Dance,24500000.0,United States,138200.0,9800.0,573.0,Other,9/1/2022
170,ZHC,ZHC,Design/art,24500000.0,United States,0.0,0.0,0.0,DIY & Life Hacks,9/29/2022
171,1theK (원더케이),LOENENT,Other,24300000.0,Indonesia,12300.0,1100.0,49.0,Other,9/26/2022
172,Rans Entertainment,Rans Entertainment,Music & Dance,24200000.0,Indonesia,894400.0,29700.0,737.0,Humor,9/3/2022
173,Amit Bhadana,Amit Bhadana,Humor,24200000.0,India,0.0,0.0,0.0,Other,9/18/2022
174,Chloe Ting,Chloe Ting,Fitness,24100000.0,United States,183600.0,10700.0,374.0,Health & Self Help,9/8/2022
175,Aditya Movies,adityacinema,Other,24100000.0,India,22400.0,496.0,17.0,Other,9/23/2022
176,KSI,KSIOlajidebt,Music & Dance,24100000.0,United Kingdom,453800.0,51700.0,1800.0,Other,9/22/2022
177,James Charles,James Charles,Beauty,23900000.0,United States,1100000.0,65300.0,1400.0,Fashion,9/2/2022
178,Ninja,NinjasHyper,Animation,23900000.0,United States,251400.0,11300.0,613.0,Video games,9/3/2022
180,Chris Brown,ChrisBrownTV,Music & Dance,23700000.0,United States,9800000.0,361300.0,19300.0,Other,9/20/2022
181,Coldplay,ColdplayVEVO,Music & Dance,23600000.0,United States,329500.0,13700.0,600.0,Other,9/10/2022
182,Logan Paul,Logan Paul,Video games,23600000.0,United States,0.0,0.0,0.0,Humor,9/23/2022
183,TRANS7 OFFICIAL,TRANS7indonesia,Food & Drinks,23500000.0,Indonesia,6600.0,89.0,8.0,Other,9/5/2022
184,ABPLIVE,ABPLIVE,News & Politics,23500000.0,India,2500.0,28.0,3.0,Other,9/15/2022
186,Shemaroo Movies,shemaroomovies,Other,23400000.0,India,45000.0,474.0,12.0,Other,9/20/2022
188,NickyJamTV,NickyJamTV,Music & Dance,23300000.0,Colombia,26800.0,2300.0,65.0,Movies,9/30/2022
189,Mister Max,Mister Max,DIY & Life Hacks,23100000.0,Russia,1800000.0,34800.0,1300.0,Other,9/25/2022
190,Enrique Iglesias,EnriqueIglesiasPlay,Music & Dance,23000000.0,United States,29000.0,2800.0,155.0,Other,9/16/2022
192,Tina Pontes,mildicasdemulher,Other,23000000.0,Brazil,105300.0,4000.0,0.0,Other,9/9/2022
193,netd müzik,netdmuzikk,Music & Dance,22900000.0,Turkey,9300.0,244.0,50.0,Other,9/8/2022
194,Jelly,JellyYT,Video games,22900000.0,United States,224100.0,10300.0,531.0,Other,9/5/2022
195,Goldmines Bollywood,Goldmines Bollywood,Other,22900000.0,India,20200.0,117.0,7.0,Other,9/21/2022
196,Crazy XYZ,Crazy XYZ,Other,22900000.0,India,3700000.0,294100.0,10200.0,Other,9/4/2022
197,Anuel AA,Anuel AA,Music & Dance,22700000.0,Colombia,44400000.0,832600.0,58200.0,Animation,9/24/2022
198,DrossRotzank,DrossRotzank,Other,22700000.0,Mexico,2200000.0,150200.0,8400.0,Other,9/23/2022
199,The Lallantop,The Lallantop,News & Politics,22600000.0,India,36900.0,1000.0,107.0,Other,9/22/2022
200,Miss Katy,Miss Katy,Video games,22500000.0,Russia,1000000.0,15600.0,667.0,Other,9/15/2022
201,Frost Diamond,Frost Diamond,Music & Dance,22500000.0,Indonesia,488900.0,35100.0,1200.0,Video games,9/1/2022
202,HUM TV,HumNetwork,Other,22500000.0,Pakistan,1600.0,10.0,0.0,Other,9/16/2022
205,The Chainsmokers,THECHAINSMOKERS,Humor,22300000.0,United States,34800.0,1700.0,47.0,Other,9/23/2022
206,Technical Guruji,Technical Guruji,Other,22300000.0,India,178400.0,10500.0,1200.0,Other,9/21/2022
207,GMM GRAMMY OFFICIAL,gmmgrammyofficial,Music & Dance,22300000.0,Thailand,3800.0,72.0,3.0,Other,9/26/2022
208,Venus Movies,VenusMovies,Other,22200000.0,India,143600.0,1200.0,29.0,Other,9/25/2022
210,mmoshaya,mmoshaya,Other,22100000.0,Saudi Arabia,2000000.0,33100.0,2200.0,Other,9/7/2022
211,America's Got Talent,AmericasGotTalent,Music & Dance,21900000.0,United States,263300.0,4200.0,246.0,Movies,9/18/2022
212,White Hill Music,WHBBP,Music & Dance,21900000.0,India,22700.0,1700.0,54.0,Other,9/29/2022
213,Paulo Londra,Paulo Londra,Music & Dance,21900000.0,Argentina,12500000.0,682900.0,24700.0,Other,9/15/2022
215,TED,TEDtalksDirector,Other,21900000.0,United States,47500.0,1300.0,162.0,Other,9/7/2022
216,Goldmines Movies,goldmineshindi,Other,21700000.0,India,9000.0,81.0,5.0,Other,9/24/2022
217,FaZe Rug,oRugrat,Video games,21700000.0,United States,4099999.9999999995,106200.0,7300.0,Humor,9/19/2022
219,Pen Movies,PenIndiaPvtLimited,Movies,21600000.0,India,56000.0,2500.0,79.0,Animation,9/23/2022
220,Enaldinho,TheEnaldinhO,Movies,21600000.0,Brazil,816100.0,43800.0,656.0,Other,9/1/2022
222,MrBeast en Español,MrBeast en Español,Other,21200000.0,Mexico,7100000.0,265600.0,10100.0,Other,9/30/2022
224,Juan De Dios Pantoja,Juan De Dios Pantoja,Daily vlogs,21200000.0,Mexico,4600000.0,237300.0,4400.0,Other,9/6/2022
225,SSundee,SSundee,Video games,21100000.0,United States,1700000.0,95100.0,3700.0,Other,9/25/2022
226,Brent Rivera,Brent Rivera,Video games,21100000.0,United States,5000000.0,201900.0,13100.0,Humor,9/1/2022
227,Tasty,Tasty,Food & Drinks,21100000.0,United States,112800.0,4300.0,64.0,Other,9/9/2022
228,FGTeeV,FGTeeV,Animation,21100000.0,United States,1300000.0,18500.0,2000.0,Video games,9/19/2022
229,Preston,PrestonPlayz,Animation,21000000.0,United States,1400000.0,53200.0,521.0,Video games,9/21/2022
230,Charlie Puth,CharliesVlogs,Music & Dance,21000000.0,United States,615300.0,59800.0,2200.0,Other,9/22/2022
231,5-Minute Crafts DIY,5-Minute Crafts DIY,Music & Dance,20900000.0,India,18300.0,303.0,9.0,Humor,9/24/2022
233,Baim Paula,Baim Paula,Music & Dance,20900000.0,Indonesia,642400.0,27100.0,2100.0,Movies,9/14/2022
234,Goldmines Cineplex,Goldmines Cineplex,Other,20800000.0,India,6400.0,84.0,3.0,Other,9/22/2022
235,Canal Canalha,CanalCanalha,Sports,20700000.0,Brazil,1200000.0,146900.0,4100.0,Other,9/9/2022
237,National Geographic,NationalGeographic,Other,20500000.0,United States,40300.0,1600.0,57.0,Other,9/9/2022
239,Brave Wilderness,Brave Wilderness,Other,20500000.0,United States,1600000.0,32200.000000000004,3100.0,Other,9/24/2022
241,StarPlus,starplus,Other,20500000.0,India,260899.99999999997,5600.0,69.0,Other,9/23/2022
242,Ultra Movie Parlour,UltraMovieParlour,Other,20300000.0,India,40700.0,910.0,15.0,Other,9/29/2022
243,BuzzFeedVideo,BuzzFeedVideo,Food & Drinks,20300000.0,United States,33100.0,824.0,23.0,Other,9/23/2022
244,AuthenticGames,AuthenticGames,Movies,20200000.0,Brazil,26400.0,2000.0,114.0,Video games,9/5/2022
245,Rotana,RotanaAudio,Music & Dance,20100000.0,Saudi Arabia,153800.0,7200.0,172.0,Other,9/5/2022
246,LazarBeam,LazarBeam,Animation,20100000.0,United States,0.0,0.0,0.0,Video games,9/30/2022
248,SlivkiShow,SlivkiChanel,Video games,20100000.0,Russia,2800000.0,195900.0,21900.0,Other,9/20/2022
249,5-Minute Crafts PLAY,5-Minute Crafts PLAY,Other,20100000.0,India,79700.0,297.0,14.0,Other,9/14/2022
250,REACT,TheFineBros,Humor,20100000.0,United States,137500.0,5400.0,400.0,Other,9/6/2022
